,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
198412,3/19/15,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"Sent a letter however, never got a response. Unfortunately, I was the victim of identity theft. I have done everything required of me by law to dispute the fraudulent items on my credit report. I sent a letter to "" Gateway One '' on XX/XX/2014 via USPS certified mail. The company refuses to honor my rights under the FDCPA & the FCRA as a victim of identity theft to remove the fraudulent inquiry that was submitted without my knowledge, consent and/or authorization. _x000D__x000D_Please find attached the notice that was sent out along with the attached certified receipt. Information can be tracked online using referenced information. Thank you for you time and attention regarding the matter. _x000D_",Company believes it acted appropriately as authorized by contract or law,TCF National Bank,MD,207XX,Servicemember,Consent provided,Web,2015-03-04 00:00:00,Closed with explanation,Yes,No,1292221
198426,3/19/15,Debt collection,Credit card,Improper contact or sharing of info,Contacted me instead of my attorney,"After retaining counsel in XXXX of XXXX due to contact by Javitch & Co. a collection agency in XXXX OH for judgement on a credit card debt I could no longer pay on due to having lost my job in XXXX of XXXX ... said collection agency sent me on consecutive months from XXXX till XXXX, requests fro payments ... Attorney XXXX XXXX XXXX OH contacted said collection firm and asked to set up a payment schedule - debited directly from my bank account. Attorney XXXX NEVER had a call returned from XXXX XXXX the contact person on record for this action with Javitch & Co. in XXXX OH. I am on Social Security, as my only source of income. _x000D_Being a seasonal employee at XXXX XXXX in XXXX - I was contacted by XXXX XXXX that my wages would be garnished at 25 % of net pay, when I worked for XXXX XXXX - working for XXXX XXXX from XXXX XXXX to XXXX XXXX, XXXX - I had {$2800.00} garnished from my paychecks - a MAJOR setback for my finances as my Social Security barely covers my monthly overhead. _x000D_Efforts by Attorney XXXX to reach XXXX XXXX at Javitch & Co. to arrive at an equitable monthly payment - directly debited from my account. Went unanswered by phone and writing. _x000D_A complete written history since judgement was rendered by the court toward my effort to establish payment schedule, through counsel is 100 % factual. This Collection agency - Javitch & Co. has totally ignored all requests by counsel & has circumvented equitable protocol to establish a payment schedule for re-payment of this debt. _x000D_",Company chooses not to provide a public response,"Javitch, Block & Rathbone LLC",OH,442XX,Older American,Consent provided,Web,3/30/15,Closed with explanation,Yes,No,1292201
198553,3/24/15,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"I am writing to complain about my treatment by XXXX XXXX XXXX XXXX XXXX, Caine & Weiner, and XXXX XXXX XXXX XXXX XXXX During a routine audit, I noted escalating fees from XXXX XXXX . On further review, I found a contract dated XXXX/XXXX/XXXX that I did not authorize nor sign. XXXX, and I am the only person authorized to sign contracts. _x000D__x000D_The person who signed the contract, and subsequent XX/XX/XXXX renewal, was a secretary who no longer works for me.This person was never authorized to sign contracts. I did not authorize this now former employee to sign any contracts with XXXX XXXX. _x000D__x000D_Records show, while the postage meter was in use, all monthly fees were paid in full. They are not due any money. They are not the injured party. On XXXX/XXXX/XXXX, I sent a letter to a XXXX XXXX Leasing Specialist, notifying him that the lease was unauthorized, null and void, and requested an arranged return of the postage meter. Since this time, the postage meter has not been used. _x000D__x000D_The contracts in question from XXXX XXXX specify that the person signing is "" authorized to sign. '' The specified now former employee was not authorized to sign. The XXXX contract lists DBA name of Lesee with this person 's name. The name of my XXXX is XXXX XXXX , XXXX, and my company never signed any agreements with XXXX XXXX. _x000D__x000D_XXXX XXXX XXXX XXXX XXXX stops their fraudulent pursuit of these unauthorized contracts and removes their equipment from my office. _x000D_",Company believes it acted appropriately as authorized by contract or law,Caine & Weiner Co. Inc.,AL,366XX,"Older American, Servicemember",Consent provided,Web,3/30/15,Closed with explanation,Yes,No,1299226
198623,3/28/15,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,I was not aware the debt had been sent to collections until it was reported on my credit report. When I contacted the collection agency they had a non-existent address. They had my correct phone number but never made any attempts to notify me of the debt prior to reporting from all credit reporting agencies. _x000D_,Company chooses not to provide a public response,"Southwest Credit Systems, L.P.",CO,800XX,Servicemember,Consent provided,Web,3/28/15,Closed,Yes,No,1305899
198890,3/24/15,Debt collection,I do not know,Disclosure verification of debt,Right to dispute notice not received,Indirect when I am asking what business matter is about then asks to verify personal information. _x000D_,Company believes it acted appropriately as authorized by contract or law,"Southwest Credit Systems, L.P.",IN,477XX,Servicemember,Consent provided,Web,3/25/15,Closed,Yes,No,1299008
199208,2015-08-04 00:00:00,Debt collection,Federal student loan,Taking/threatening an illegal action,Sued w/o proper notification of suit,"Performance Recovery levy my payroll. I wrote them a letter indicating that i do not owe them any money, nevertheless, requested that they submit to me signed copy of the contract, cancelled checks, and any other documents that might indicate that Iinitiated this loan. As indicated to them the federal law suggests that they should respond back to me within 30 days. They did not respond back, instead, a new levy was sent to my employer to continue the levy. this is causing a financial burden. My employer indicated that they do not know there is a federa law that protect the consumer. _x000D__x000D__x000D_XXXX XXXXPerformant Recovery, XXXX. XXXX XXXX, Ca XXXX XXXX XXXX XXXX XXXX I received a garnishment from my employer, concerning a debt from you. This is not a refusal to pay, but a notice that your claim is being disputed. This is a request for validation made pursuant to the Fair Debt Collection Practices Act. _x000D_Be advised that I am not requesting a "" verification '' that you have my mailing address, I am requesting a "" validation ; '' that is, competent evidence that I have some contractual obligation to pay you. Provide me with factual evidence that I have any legal obligation to pay you. _x000D_Please provide me with the following ; *What the money you say I owe is far*Provide me with copies of any judgment if applicable*Explain and show me how you calculated what you say I owe*Identify the original creditor*Prove the status of limitation have not expired on the account*Show me that you are licensed to collect in my state ; and*Provide me with your license numbers and Registered Agent. _x000D_You should also be aware that sending unsubstantiated demands for payment through the XXXX Mail System might constitute mail fraud under federal and state law. You may wish to consult with a competent legal advisor before your next communication with me. _x000D_",Company chooses not to provide a public response,Performant Financial Corporation,CA,902XX,"Older American, Servicemember",Consent provided,Web,4/14/15,Closed with explanation,Yes,No,1321902
199610,3/25/15,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,"Request for Credit Reversal and DisputeMy name is__ and I am a United States XXXX XXXX XXXX XXXX Veteran who is appalled at the treatment that I have been receiving from Sallie Mae , Inc . I 've served my country honorably as an officer for 21 years and never thought that my financial future would be scarred by a student loan company. My XXXX credit has been damaged due to errors and misinformation given by Sallie Mae loan representatives. As the cosigner on my niece 's student loans, I am requesting a credit reversal of the derogatory information that have stained my credit reports. I 've also discovered that there are thousands of online customer complaints documenting the same errors, inefficiencies and misinformation made by Sallie Mae employees. _x000D_On XXXX XXXX, 2015, I spoke to XXXX ( Sallie Mae representative ) regarding loan __. I told him that my niece and her family were undergoing economic hardship and that my retired status, along with the care of my Mom placed me in a difficult position in terms of repayment of the loans. XXXX mentioned a forbearance option. I stated to him that my niece and her father had been granted the maximum in forbearances stated by Sallie Mae. He then stated that since the family was still undergoing economic hardship that he would appeal to management for another forbearance, provided that I would pay a {$50.00} fee and give him a financial statement over the phone. I asked if deferment was an option, and he said no because my niece was not in school. I gave him the information, paid the {$50.00} fee, XXXX assured me again that he would do everything he could to get a favorable answer from management regarding the forbearance request and to keep my credit from being negatively affected at XXXX. He said if he was n't able to do it, I would receive a call. I never received any follow up calls stating that the forbearance was not approved. _x000D_On the XXXX of XXXX, I called Sallie Mae 's military division to inquire about additional programs for veterans and it was there that I was told that the forbearance that XXXX had processed was denied and the derogatory information was reported to the credit bureaus. The representative said that XXXX should have told me that it was not likely that another forbearance would be granted because of the XXXX opportunities had been exhausted. I also discovered that with the approved forbearance in the past, that Sallie Mae never went back to re-adjust the days past due and those were also on my credit reports. I paid the {$50.00} in good faith and was misinformed and disregarded. _x000D_On XXXX XXXX, 2015, my niece and her father called and spoke with XXXX ( Sallie Mae representative ) to request a forbearance for loan__. XXXX took their financial information and said that he would push for a 60-day forbearance, however he could n't guarantee it but would work hard to get it approved. They called back after not hearing from Sallie Mae on that day and was told by a Sallie Mae assistant that nothing was done yet. They were then transferred back to the forbearance department and XXXX took the call and said that everything had been take care of and that someone would call. When the payments were late, I received numerous calls throughout the day. Each time I called Sallie Mae and was told that a follow up call would be made, no one called me, regarding a status update. _x000D_During the early part of XXXX, I spoke with XXXX ( Sallie Mae representative ) and was given information that was reported after the previous forbearance had been approved. My niece and father were told by XXXX that with each and every forbearance, that it should have been only XXXX 30-day late reported. Sallie Mae dropped the ball several times and we were penalized for the misinformation and faulty loan servicing The derogatory late payment information damaged my credit-a credit reversal is requested. _x000D_",Company believes complaint is the result of an isolated error,Sallie Mae,NC,282XX,Servicemember,Consent provided,Web,3/25/15,Closed with non-monetary relief,Yes,No,1300677
199755,3/25/15,Debt collection,Credit card,Communication tactics,Called after sent written cease of comm,"After first communication from XXXX for {$13.00}, called as they suggested if I could n't afford to pay. When I called they said very quickly "" I did n't qualify and had to pay ''. After that received DAILY letters threatening me with reporting to credit agencies. Wrote them numerous times stating I was XXXX years old, am judgment proof ( last letter certified and I have receipt ), yet letters and phone calls continued unabated. Hospital takes blood and I do not know where it goes. I have no say in the matter. They continuously threaten to discontinue services. As if it could get no worse, they have now handed it over to a debt collection service ( American Medical Collection Agency ) who began with their threatening letters in addition to XXXX. They are making me sicker than I am by their continuing harrassment. I do not answer my phone and have missed important calls in connection with my health. They know full well my age and health. The phone and mail is driving me crazy. Please make them stop or let me know what action I can take against this unscrupulous operator who has spent more on calls and postage than the money they claim I owe. Paperwork can be furnished on request. PLEASE HELP!!! _x000D_",Company believes it acted appropriately as authorized by contract or law,"Retrieval-Masters Creditors Bureau, Inc.",NY,100XX,Older American,Consent provided,Web,3/31/15,Closed with explanation,No,No,1300836
199780,3/25/15,Debt collection,Auto,Improper contact or sharing of info,Talked to a third party about my debt,"XX/XX/2012 I attempted to make an internet purchase of a Mercedes Benz from XXXX of XXXX MD - terms were agreed to and the car was delivered by a motor carrier designated by the dealership [ enclosed ] Upon delivery I recognized the car was not as represented by the dealership sales people - photos were carefully shown to illustrate the good parts of the car - not the ones in need of attention. I HAD DAY ONE DELIVERY ISSUES. _x000D_Over the months that followed I contacted the dealership and M-B Financial in an attempt to resolve the issues. _x000D_both the dealership and M-B Financial did nothing but give me lip service on why the issues were my problem not theirs. _x000D_After canceling the deposits and refusing to pay for this fraudulent internet car buying experience - I voluntarily turned the car in. Was recognized as a voluntary repossession, where again despite my efforts with M-B Financial to get the XXXX-Repossession OFF my credit history - they would not help me with that either - where my credit has been badly damaged by this bogus and fraudulent internet car buying experience. _x000D_Simply the worst business experience I have ever had. _x000D_",Company believes complaint caused principally by actions of third party outside the control or direction of the company,Mercedes-Benz Financial Services,OH,442XX,Older American,Consent provided,Web,3/25/15,Closed with explanation,Yes,Yes,1300873
199884,3/25/15,Debt collection,Credit card,Communication tactics,Called after sent written cease of comm,"My XXXX XXXX XXXX daughter has a credit card debt that went to collections. This debt collection agency contacted her. She gave them permission to work with me on this. They called me and I told them to email me a proposal, and almost immediately after they emailed it they began calling me again. I emailed them to stop the phone calls to my daughter, me or any of her friends or relatives and that we could continue to work together in writing. I also asked that they validate the debt. They pressed to have payment of over {$1200.00} by the end of the month, which at the time was 12 days. I told them that was not possible and I needed a more reasonable payment plan. He sent me back something that had payments totaling over {$2500.00} at {$210.00} a month, with XXXX payments in XXXX. I countered that he had XXXX payments in XXXX, and I offered to pay XXXX even payments of {$320.00}. He said that he only got approval for the settlement if I paid it by the end of the month. I told him that may be but it was his issue that he went to his client with a proposal that I never agreed to. I said I suggest you take this to your client.. He said he would. This was yesterday, XXXX XXXX. I have not heard anything back from him. Today, XXXX XXXX, I get a phone call from XXXX XXXX with their company saying she wanted to get a final on this. I said you are not supposed to call me, and I am very busy. She proceeded to talk over me while I was asking her to validate the debt for me, she told me she would not call me again, and since she was talking over me, I could n't understand what all she was saying, but she said something about I 'll tell you what I 'm gon na do, and then I did n't hear anymore because I was asking her to validate the debt. I want them to validate this so that I can make a reasonable offer. I will pay what my daughter charged and a reasonable amount of interest. I need to see the statement so I can offer a fair settlement. They are unwilling to do this. _x000D_",Company believes it acted appropriately as authorized by contract or law,Nations Recovery Center,GA,300XX,Servicemember,Consent provided,Web,3/25/15,Closed with non-monetary relief,Yes,Yes,1300983
199885,3/25/15,Debt collection,Credit card,Communication tactics,Called after sent written cease of comm,"My XXXX year old daughter has a credit card debt that went to collections. This debt collection agency contacted her. She gave them permission to work with me on this. They called me and I told them to email me a proposal, and almost immediately after they emailed it they began calling me again. I emailed them to stop the phone calls to my daughter, me or any of her friends or relatives and that we could continue to work together in writing. I also asked that they validate the debt. They pressed to have payment of over {$1200.00} by the end of the month, which at the time was 12 days. I told them that was not possible and I needed a more reasonable payment plan. He sent me back something that had payments totaling over {$2500.00} at {$210.00} a month, with XXXX payments in XXXX. I countered that he had XXXX payments in XXXX, and I offered to pay XXXX even payments of {$320.00}. He said that he only got approval for the settlement if I paid it by the end of the month. I told him that may be but it was his issue that he went to his client with a proposal that I never agreed to. I said I suggest you take this to your client.. He said he would. This was yesterday, XXXX XXXX. I have not heard anything back from him. Today, XXXX XXXX, I get a phone call from XXXX XXXX with their company saying she wanted to get a final on this. I said you are not supposed to call me, and I am very busy. She proceeded to talk over me while I was asking her to validate the debt for me, she told me she would not call me again, and since she was talking over me, I could n't understand what all she was saying, but she said something about I 'll tell you what I 'm gon na do, and then I did n't hear anymore because I was asking her to validate the debt. I want them to validate this so that I can make a reasonable offer. I will pay what my daughter charged and a reasonable amount of interest. I need to see the statement so I can offer a fair settlement. They are unwilling to do this. _x000D_",Company chooses not to provide a public response,Barclays PLC,GA,300XX,Servicemember,Consent provided,Web,3/25/15,Closed with explanation,Yes,No,1300984
199905,3/31/15,Debt collection,Auto,Communication tactics,Called after sent written cease of comm,They have repossessed our car and auctioned it off. We get many calls a day. They were sent a notice and still keep calling. Each time we talk they say they will keep calling till we pay. I am XXXX and on XXXX. We do not have enough to pay our regular bills. _x000D_,Company believes it acted appropriately as authorized by contract or law,"Westlake Services, LLC",VA,230XX,Servicemember,Consent provided,Web,3/31/15,Closed with explanation,Yes,No,1308257
199985,2015-04-04 00:00:00,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,"XXXX XXXX XXXX of XXXX XXXX Ca charged me XXXX XXXX times ( Same item ) Called and reversed XXXX charge. On XXXX daughter XXXX XXXX XXXX, XXXX NY was charged also.This is for me and bought for me by family members I agreed to pay after second yr.Mailed proof to XXXX charges XXXX reversed as of XXXX. Someway Sears card ( CITY BANK ) got into this after I already had a reversal and charged me again on XXXX.Do n't know how sears got into this since I got a reversal of charges on XXXX. Rcd letter from Sears Credit services on same day that another charge was posted on my card. Owed a charge back. _x000D_Charge card showed all transactions clearly. Do n't they ever proof read their bills, especially since I brought it to their attention. _x000D_I wish that XXXX XXXX and Sears Crdit compensate me for this hilarious and confusing billing. Send a rebate for all charges, including original, refund my daughter fo billing her.Send a carton for shipping item back. At that point I will go elsewhere for an alert system. All charges amount to about XXXX ( Plus aggravation that never seems to end. ) _x000D_",Company chooses not to provide a public response,Citibank,NY,140XX,"Older American, Servicemember",Consent provided,Web,2015-08-04 00:00:00,Closed with monetary relief,Yes,No,1316008
200044,2015-05-04 00:00:00,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,"Enhanced Recovery has put XXXX different collection accounts on my XXXX profile. All of the Debts show different amounts and have been re-aged which is illegal. I would like to have this removed from my credit file. According to the law reaging is illegal under Creditors, collection agencies, or credit bureaus, if they try and "" Re-Age '' your account by updating the date of last activity on your credit report in the hopes of keeping negative information on your account longer. Consumer protection afforded by the FCRA FCRA Section 605 ( c ) {$1000.00}. _x000D__x000D__x000D__x000D_Open Date N/A N/A XXXX, XXXX {$0.00} {$0.00} $ XXXX Utilization Ratio 0 % 0 % 0 % Last Credit Bureau XXXX XXXX XXXX XXXX XXXX XXXX N/A N/A N/AThanks, _x000D_",Company believes it acted appropriately as authorized by contract or law,ERC,TX,786XX,Servicemember,Consent provided,Web,2015-05-04 00:00:00,Closed with non-monetary relief,Yes,Yes,1316135
200572,3/23/15,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,"I had an agreement to pay on medical bill monthly. After sending in payment for XXXX it was turned over to a collection agency. This however, may not have happened if I had not gone to the billing office to dispute a charge. On several occasions when I pay my co-pay at the doctors office I am later billed for it. I tell them I have my receipt, they tell me its for Lab work, they send it to collection. Collection called to tell me its for Lab work, I go to Billing Office, show my receipt for office visit paid, they tell me its for Lab work, I paid the amount they ask for to get it out of collections. I called Insurance Company, they tell me I do not pay for Lab work if it is done during my visit. The Insurance Company calls the Billing Office, told them I was not responsible for the bill. The Billing Office was to call Insurance Company and Physicians Office to confirm charges, however they did not call the Insurance Office, Physicians Office or me. They will not accept calls from anyone concerning this bill. I do not dispute owing the medical bill, I do dispute the amount because they have accepted XXXX payments since turning it over to collections. I believe that a company should honor their agreement when given. I do not want to lose the physician I have now, but if I have to change I will go back to the old clinic ( never had a problem with billing ). I am not the only one that has had this problem, the ones I have spoken with are afraid of losing their physician. This company is to large to resort to these tactics. I have paid my bill down from around {$3400.00} to XXXX, why send it to collection now? I did not receive a statement this month, but I sent the payment I agreed to pay. The statements you receive are very confusing, its as if they do n't want you to know what you owe or what you have paid. _x000D_",Company believes it acted appropriately as authorized by contract or law,"Asset Management Outsourcing, Inc.",GA,301XX,Older American,Consent provided,Web,3/26/15,Closed with explanation,Yes,No,1295290
200782,3/26/15,Debt collection,Auto,Communication tactics,Frequent or repeated calls,"Navy federal credit union is attempting to contact not just me but finding ways to contact my family after I have asked them not to contact me after XXXX as I am at work. They have taken it to the point of contacting not just me but my wife 's XXXX father, my grandparents, and my father after I have provided them no phone numbers but my own and stated do not call any numbers but mine _x000D_",Company believes it acted appropriately as authorized by contract or law,Navy FCU,ID,836XX,Servicemember,Consent provided,Web,3/26/15,Closed with non-monetary relief,Yes,No,1303056
200837,2015-01-04 00:00:00,Payday loan,Payday loan,Applied for loan/did not receive money,Applied for loan/did not receive money,"I did apply for a payday loan with cash net usa. The only reason I know its them is because I XXXX the phone number, and the people under it says thats who it is. Anyway my complaint is that I have XXXX sisters that this company keeps calling them and harrasing them 20-25 times a day. They threatened my sisters saying that they are coming to get me and take me to jail. Then XXXX of my sisters talked to them and they claimed they were not a debt collector but just needed to talk to me. Also they are calling a job that I havent been employed with since 2006. And my ex boss is really mad because she thinks Im trying to ignore them and Im not. Plus they are calling me by my maiden name. I have been married for nine years so this debt is really old. Please help me. _x000D_",Company believes complaint caused principally by actions of third party outside the control or direction of the company,"Enova International, Inc.",VA,234XX,Servicemember,Consent provided,Web,2015-01-04 00:00:00,Closed with explanation,Yes,No,1311060
200936,2015-01-04 00:00:00,Debt collection,Payday loan,Communication tactics,Frequent or repeated calls,We have received 48 documented phone calls from a company called XXXX XXXX XXXX over the course of the last three weeks. We have attempted to get a fax number or mailing address to send a cease communication letter. At which time they simply hang up on us and will not give the information. They have also called family members 12 times leaving a number to return their call. The number they are calling from is XXXX and XXXX. A google search of the company name or number finds nothing listed other than harassing phones calls. Can you help get this stopped. _x000D_,Company believes complaint caused principally by actions of third party outside the control or direction of the company,"Enova International, Inc.",NV,891XX,Older American,Consent provided,Web,2015-01-04 00:00:00,Closed with explanation,Yes,No,1311258
200999,2015-06-04 00:00:00,Debt collection,Auto,Cont'd attempts collect debt not owed,Debt resulted from identity theft,i do not recognize this information this is a fraudulent account that needs to be removed asap as it was opened as a result of identity theft _x000D_,Company chooses not to provide a public response,Pentagon FCU,NC,282XX,Servicemember,Consent provided,Web,2015-06-04 00:00:00,Closed with explanation,Yes,No,1316378
201082,3/23/15,Debt collection,Mortgage,Communication tactics,Frequent or repeated calls,"PHH Corporation will make repeated calls "" Robo calling '', so when I pick up no one answers, they pick up one time and had a real person. These calls are in reference to a {$60.00} escrow that was tacked on and we were not notified by mail or e-mail so they started the harassing calls the next day.I 'm on the do not call list and registered a FCC complaint as well. _x000D_",Company can't verify or dispute the facts in the complaint,PHH Mortgage,TN,376XX,Servicemember,Consent provided,Web,3/31/15,Closed,Yes,No,1296402
201180,3/27/15,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,"Collection agency re aged debt that was older than 7 years old and is reporting inaccurate date of debt information to place it back on my credit report. _x000D__x000D_Major Derogatory Record details found within your credit file : Details Summary ALERT TYPE XXXX XXXX XXXX ( Collections ) CREDITOR TYPE Other Collection Agencies LAST UPDATE DATE XX/XX/XXXX-XXXX AMOUNT XXXX ALERTDATE XX/XX/XXXX XXXX STELLAR RECOVERY INC ADDRESS XXXX XXXX XXXX XXXX XXXX CITY XXXX XXXX FL ZIP XXXX CREDITOR PHONE XXXX I have not resided in XXXX XXXX area for over 7 years, nor was my original date of service in XX/XX/XXXX-XX/XX/XXXX as reported. _x000D_",Company believes it acted appropriately as authorized by contract or law,Stellar Recovery Inc.,AR,727XX,Servicemember,Consent provided,Web,2015-01-04 00:00:00,Closed with explanation,Yes,No,1303893
201238,4/16/15,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,"There is a certain debt collector known as Central Portfolio XXXX that is repeatedly calling and harassing my poor old XXXX year old grandmother on the basis of a debt I DO NOT legally owe. I am a resident of XXXX, where the debt should have expired last year, yet they call her at her number in XXXX, where I do not know how they got that number, as I have had no communications with them. What actions should I take to assert my rights and my grandmother 's privacy? _x000D_",Company chooses not to provide a public response,Central Portfolio Control Inc.,NV,894XX,Servicemember,Consent provided,Web,4/16/15,Closed with explanation,Yes,No,1332482
201321,2015-07-04 00:00:00,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was paid,"This is Part XXXX of case number XXXX.SunTrust has cancelled the subordinate DOT on XXXX XXXX XXXX, thanks to you all. However, they sold my property at XXXX. They keep on passing it around amongst themselves. I am sending copies of the original deed to prove that the land was never financed or signed off to anyone by me and that it was given to me by my mother. The loan ( {$38000.00} ) that SunTrust alleged that I borrowed never happened. I tried to tell them that during their merger with XXXX some papers got mixed up. Thank God that its been almost 15 yrs and I am still holding on. The letter that SunTrust wrote dated XXXX XXXX, XXXX is fabricated. On XXXX XXXX, XXXX we did n't have a primary residence and the {$37000.00} was part of the original construction loan of {$140000.00}. I 've never been a landlord nor have I ever owned rental property. The {$37000.00} was paid off whenever XXXX XXXX took over the construction loan. I sent you a copy of the Cancelled DOT in my XXXX complaint. How could they refinance something that was paid off? Where did the commercial loan come from. I 'm sending you a copy of the original deed. It 's all residential and never been listed as commercial land. XXXX buyers of the land were fooled by SunTrust and bought the land but got a full refund. It 's just a little under an acre ( XXXX acres XXXX but it was my mom 's and she passed it on to me to have to keep her financially secure if I needed to. My mom passed XXXX XXXX, XXXX. I would n't sell that land for anything. SunTrust kept threatening me over and over again about signing a new note. The note that I signed in person were in the amount of {$37000.00} and I never seen this XXXX for the {$38000.00} until later. I told the Bank that I never signed a note stating that I borrowed that money for rental or renovation properties. This has been a nightmare ever since those banks merged. I never had a proper closing, my attorney died, my builder had to move on to another job out of town, the company that sold the house filed Chapter XXXX and we had to apply to XXXX County for a Certificate Of Occupancy to move in our new home. We were homeless and nobody seemed to care. I did n't know about real-estate loan but I do now. I hope that everyone can understand that this was XXXX big mistake. I only signed for the {$37000.00} loan. Everything I have said it the truth. I have repeated this over and over. Please have SunTrust to give me back my mom 's keepsake and our monies back. We are in the process of refinancing our mortgage loan to a fixed rate now because the subordinate loan was removed. Again, thanks a XXXX times for listening to me. I have more papers if you need them. I have been collecting them over the years. I am sending a list of the checks I 've paid to SunTrust over the years. I had to stop paying them so that I could get some help or at least get someone to respond to me. It has cost me hard ache, pain and financial hardship but I got to someone who will hear my plea. Again, thank you all very much for everything that 's been done so far. _x000D_",Company chooses not to provide a public response,"SunTrust Banks, Inc.",NC,275XX,Older American,Consent provided,Web,2015-07-04 00:00:00,Closed with explanation,Yes,Yes,1320372
201723,2015-12-04 00:00:00,Debt collection,Auto,Communication tactics,Frequent or repeated calls,I made an interest only payment one month on car loan and for 4 months now they call me 8 to 10 times a day on my home phone and cell phone. Most are robo calls. _x000D_,Company chooses not to provide a public response,Ally Financial Inc.,DE,199XX,"Older American, Servicemember",Consent provided,Web,4/17/15,Closed with explanation,Yes,No,1326432
201742,2015-07-04 00:00:00,Debt collection,Federal student loan,False statements or representation,Attempted to collect wrong amount,My Social Security payments are being garnished. The amounts reported by the collection agencies are different than the amounts on the credit report. _x000D_,Company disputes the facts presented in the complaint,"National Enterprise Systems, Inc.",VT,058XX,Servicemember,Consent provided,Web,2015-09-04 00:00:00,Closed with explanation,Yes,No,1319434
202046,4/13/15,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Called outside of 8am-9pm,"I got my XXXX call around XXXX XXXX. I was up so answered it. I told the lady she had the wrong person. Now every weekday, I receive a call anywhere from XXXX. to XXXX. I have had at least XXXX of them. I have not received any written mail from this company. When I try to call back I am asked to give a case number that I do n't have, and then can not get to talk to anyone. _x000D_",Company chooses not to provide a public response,"Credit Protection Association, L.P.",OR,974XX,Older American,Consent provided,Web,4/13/15,Closed with non-monetary relief,Yes,No,1327256
202179,2015-08-04 00:00:00,Debt collection,Medical,Communication tactics,Called outside of 8am-9pm,"Repeated calls after being on the "" DO NOT CALL LIST ''. _x000D_",Company believes it acted appropriately as authorized by contract or law,"CL Holdings, LLC",FL,344XX,Older American,Consent provided,Web,2015-08-04 00:00:00,Closed with explanation,Yes,No,1321507
202353,2015-02-05 00:00:00,Debt collection,Federal student loan,False statements or representation,Attempted to collect wrong amount,I did n't take a loan for XXXX. From this college. I only took XXXX classes and those classes did n't cost XXXX. _x000D_,Company believes it acted appropriately as authorized by contract or law,"Newman, Mathis, Brady & Spedale",LA,714XX,Servicemember,Consent provided,Web,5/14/15,Closed with explanation,Yes,No,1357909
202516,4/18/15,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,"For 3 years Allied Interstate has been calling for an unknown person to me, XXXX XXXX, and will not stop with the calls no matter how many times they have been told to remove our phone number. Speaking to a supervisor does not help either. I am told they are sorry and will stopand then the calls happen again and again every day, several times a day, morning or night. They are making our lives a living hell even with a answering machine. _x000D_",Company believes complaint represents an opportunity for improvement to better serve consumers,Allied Interstate LLC,PA,156XX,Older American,Consent provided,Web,4/18/15,Closed with non-monetary relief,Yes,No,1336194
202537,4/18/15,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,"I am a XXXX veteran. After XXXX XXXX destroyed the VA hospital, we were advised to seek emergency treatment at the nearest facility and we will be reimbursed. In XXXX XX/XX/2011, I used XXXX Ambulance service to rush me to the nearest hospital, and my family and I advised them that VA was my only insurance. They failed to submit a claim to VA and put me in collections. during the 2 year period they had to submit a claim, they nor their collection agency never called me. I assume is because they can get away with billing me over {$XXXX}. But, they could only bill VA a minimal amount. I recently requested that they submit the request for payment with the VA, the XXXX Representative declined to respond. I believe this is a deceptive practice aimed at getting more money from the patient, then the government. _x000D_",Company chooses not to provide a public response,Louisiana Recovery Services Inc.,LA,700XX,Servicemember,Consent provided,Web,4/18/15,Closed with explanation,Yes,No,1336231
